id,name,url,region_id,role_id,subrole_id,salary_from,salary_to,salary_currency,salary_gross,salary_mode_id,salary_frequency_id,schedule_id
128377613,Менеджер по B2B продажам,https://api.hh.ru/vacancies/128377613?host=hh.ru,1255,21,70,60000.0,200000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128151924,Менеджер отдела продаж,https://api.hh.ru/vacancies/128151924?host=hh.ru,1255,21,70,65000.0,130000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128234079,Менеджер отдела продаж,https://api.hh.ru/vacancies/128234079?host=hh.ru,1255,21,70,65000.0,100000.0,RUR,False,MONTH,,fullDay
127358492,"Банковский сотрудник (пр. Фрунзе, 96)",https://api.hh.ru/vacancies/127358492?host=hh.ru,1255,21,70,60000.0,,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128132015,Специалист по сбыту,https://api.hh.ru/vacancies/128132015?host=hh.ru,1255,21,70,70000.0,,RUR,False,MONTH,,fullDay
128176749,Менеджер по продажам новых автомобилей,https://api.hh.ru/vacancies/128176749?host=hh.ru,1255,21,70,80000.0,250000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127618171,Менеджер отдела продаж,https://api.hh.ru/vacancies/127618171?host=hh.ru,1255,21,70,50000.0,50000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127270118,Менеджер оптовых продаж,https://api.hh.ru/vacancies/127270118?host=hh.ru,1255,21,70,,142500.0,RUR,False,MONTH,,fullDay
126569341,Менеджер в отделение банка (Переулок 1905 года 14а),https://api.hh.ru/vacancies/126569341?host=hh.ru,1255,21,70,75000.0,,RUR,False,MONTH,,fullDay
126540327,Менеджер по оптовым продажам,https://api.hh.ru/vacancies/126540327?host=hh.ru,1255,21,70,75000.0,100000.0,RUR,False,MONTH,,fullDay
128156824,Менеджер по развитию территории (Томская область),https://api.hh.ru/vacancies/128156824?host=hh.ru,1255,21,70,,90000.0,RUR,False,MONTH,TWICE_PER_MONTH,remote
